Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
KiKit_MB_33_2,NPTH,NPTH,73.0,-68.388886,0.0,top
KiKit_MB_33_3,NPTH,NPTH,73.0,-69.388886,0.0,top
KiKit_MB_33_4,NPTH,NPTH,73.0,-70.388886,0.0,top
KiKit_MB_34_1,NPTH,NPTH,73.000001,-79.766663,0.0,top
KiKit_MB_34_2,NPTH,NPTH,73.000001,-80.766663,0.0,top
KiKit_MB_34_3,NPTH,NPTH,73.000001,-81.766663,0.0,top
KiKit_MB_34_4,NPTH,NPTH,73.000001,-82.766663,0.0,top
KiKit_MB_35_1,NPTH,NPTH,73.000002,-92.144441,0.0,top
KiKit_MB_35_2,NPTH,NPTH,73.000003,-93.144441,0.0,top
KiKit_MB_35_3,NPTH,NPTH,73.000003,-94.144441,0.0,top
KiKit_MB_35_4,NPTH,NPTH,73.000003,-95.144441,0.0,top
KiKit_MB_36_1,NPTH,NPTH,73.000004,-104.522218,0.0,top
KiKit_MB_36_2,NPTH,NPTH,73.000004,-105.522218,0.0,top
KiKit_MB_36_3,NPTH,NPTH,73.000004,-106.522218,0.0,top
KiKit_MB_36_4,NPTH,NPTH,73.000004,-107.522218,0.0,top
KiKit_MB_37_1,NPTH,NPTH,50.833334,-7.0,0.0,top
KiKit_MB_37_2,NPTH,NPTH,51.833334,-7.0,0.0,top
KiKit_MB_37_3,NPTH,NPTH,52.833334,-7.0,0.0,top
KiKit_MB_37_4,NPTH,NPTH,53.833334,-7.0,0.0,top
KiKit_MB_38_1,NPTH,NPTH,61.16667,-7.000001,0.0,top
KiKit_MB_38_2,NPTH,NPTH,62.16667,-7.000001,0.0,top
KiKit_MB_38_3,NPTH,NPTH,63.16667,-7.000001,0.0,top
KiKit_MB_38_4,NPTH,NPTH,64.16667,-7.000001,0.0,top
KiKit_MB_39_1,NPTH,NPTH,53.833334,-118.399995,0.0,top
KiKit_MB_39_2,NPTH,NPTH,52.833334,-118.399995,0.0,top
KiKit_MB_39_3,NPTH,NPTH,51.833334,-118.399995,0.0,top
KiKit_MB_39_4,NPTH,NPTH,50.833334,-118.399995,0.0,top
KiKit_MB_40_1,NPTH,NPTH,64.16667,-118.399995,0.0,top
KiKit_MB_40_2,NPTH,NPTH,63.16667,-118.399995,0.0,top
