Ref,Val,Package,PosX,PosY,Rot,Side
"N169","~","SK6805-EC14",29.346009,-71.257000,0.000000,top
"N169","~","SK6805-EC14",64.346009,-71.257000,0.000000,top
"N170","~","SK6805-EC14",67.769009,-71.257000,0.000000,top
"N170","~","SK6805-EC14",32.769009,-71.257000,0.000000,top
"N171","~","SK6805-EC14",71.192009,-71.257000,0.000000,top
"N171","~","SK6805-EC14",36.192009,-71.257000,0.000000,top
"N172","~","SK6805-EC14",43.808009,-74.680000,0.000000,top
"N172","~","SK6805-EC14",8.808009,-74.680000,0.000000,top
"N173","~","SK6805-EC14",47.231009,-74.680000,0.000000,top
"N173","~","SK6805-EC14",12.231009,-74.680000,0.000000,top
"N174","~","SK6805-EC14",50.654009,-74.680000,0.000000,top
"N174","~","SK6805-EC14",15.654009,-74.680000,0.000000,top
"N175","~","SK6805-EC14",19.077009,-74.680000,0.000000,top
"N175","~","SK6805-EC14",54.077009,-74.680000,0.000000,top
"N176","~","SK6805-EC14",22.500009,-74.680000,0.000000,top
"N176","~","SK6805-EC14",57.500009,-74.680000,0.000000,top
"N177","~","SK6805-EC14",25.923009,-74.680000,0.000000,top
"N177","~","SK6805-EC14",60.923009,-74.680000,0.000000,top
"N178","~","SK6805-EC14",29.346009,-74.680000,0.000000,top
"N178","~","SK6805-EC14",64.346009,-74.680000,0.000000,top
"N179","~","SK6805-EC14",32.769009,-74.680000,0.000000,top
"N179","~","SK6805-EC14",67.769009,-74.680000,0.000000,top
"N180","~","SK6805-EC14",71.192009,-74.680000,0.000000,top
"N180","~","SK6805-EC14",36.192009,-74.680000,0.000000,top
"N181","~","SK6805-EC14",43.808009,-78.103000,0.000000,top
"N181","~","SK6805-EC14",8.808009,-78.103000,0.000000,top
"N182","~","SK6805-EC14",12.231009,-78.103000,0.000000,top
"N182","~","SK6805-EC14",47.231009,-78.103000,0.000000,top
"N183","~","SK6805-EC14",50.654009,-78.103000,0.000000,top
"N183","~","SK6805-EC14",15.654009,-78.103000,0.000000,top
"N184","~","SK6805-EC14",19.077009,-78.103000,0.000000,top
"N184","~","SK6805-EC14",54.077009,-78.103000,0.000000,top
"N185","~","SK6805-EC14",57.500009,-78.103000,0.000000,top
"N185","~","SK6805-EC14",22.500009,-78.103000,0.000000,top
"N186","~","SK6805-EC14",60.923009,-78.103000,0.000000,top
"N186","~","SK6805-EC14",25.923009,-78.103000,0.000000,top
"N187","~","SK6805-EC14",29.346009,-78.103000,0.000000,top
"N187","~","SK6805-EC14",64.346009,-78.103000,0.000000,top
"N188","~","SK6805-EC14",67.769009,-78.103000,0.000000,top
"N188","~","SK6805-EC14",32.769009,-78.103000,0.000000,top
"N189","~","SK6805-EC14",36.192009,-78.103000,0.000000,top
"N189","~","SK6805-EC14",71.192009,-78.103000,0.000000,top
"N190","~","SK6805-EC14",43.808009,-81.526000,0.000000,top
"N190","~","SK6805-EC14",8.808009,-81.526000,0.000000,top
"N191","~","SK6805-EC14",47.231009,-81.526000,0.000000,top
"N191","~","SK6805-EC14",12.231009,-81.526000,0.000000,top
"N192","~","SK6805-EC14",15.654009,-81.526000,0.000000,top
"N192","~","SK6805-EC14",50.654009,-81.526000,0.000000,top
"N193","~","SK6805-EC14",19.077009,-81.526000,0.000000,top
"N193","~","SK6805-EC14",54.077009,-81.526000,0.000000,top
"N194","~","SK6805-EC14",22.500009,-81.526000,0.000000,top
"N194","~","SK6805-EC14",57.500009,-81.526000,0.000000,top
"N195","~","SK6805-EC14",25.923009,-81.526000,0.000000,top
"N195","~","SK6805-EC14",60.923009,-81.526000,0.000000,top
"N196","~","SK6805-EC14",64.346009,-81.526000,0.000000,top
"N196","~","SK6805-EC14",29.346009,-81.526000,0.000000,top
"N197","~","SK6805-EC14",32.769009,-81.526000,0.000000,top
"N197","~","SK6805-EC14",67.769009,-81.526000,0.000000,top
"N198","~","SK6805-EC14",71.192009,-81.526000,0.000000,top
"N198","~","SK6805-EC14",36.192009,-81.526000,0.000000,top
"N199","~","SK6805-EC14",8.808009,-84.949000,0.000000,top
"N199","~","SK6805-EC14",43.808009,-84.949000,0.000000,top
"N200","~","SK6805-EC14",12.231009,-84.949000,0.000000,top
"N200","~","SK6805-EC14",47.231009,-84.949000,0.000000,top
"N201","~","SK6805-EC14",15.654009,-84.949000,0.000000,top
"N201","~","SK6805-EC14",50.654009,-84.949000,0.000000,top
"N202","~","SK6805-EC14",54.077009,-84.949000,0.000000,top
"N202","~","SK6805-EC14",19.077009,-84.949000,0.000000,top
"N203","~","SK6805-EC14",22.500009,-84.949000,0.000000,top
"N203","~","SK6805-EC14",57.500009,-84.949000,0.000000,top
"N204","~","SK6805-EC14",25.923009,-84.949000,0.000000,top
